source_id,entity_type,entity_name,field_name,field_value,field_unit,page,bbox
W3010745702,FRB,FRB 120127,dispersion_measure,553.3,cm^-3 pc,4,"[567, 491, 609, 506]"
W3010745702,FRB,FRB 121002,dispersion_measure,1629.2,cm^-3 pc,4,"[566, 512, 612, 527]"
W3010745702,FRB,FRB 121102,dispersion_measure,557.0,cm^-3 pc,4,"[567, 533, 609, 547]"
W3010745702,FRB,FRB 130626,dispersion_measure,952.4,cm^-3 pc,4,"[567, 554, 606, 568]"
W3010745702,FRB,FRB 130628,dispersion_measure,469.9,cm^-3 pc,4,"[567, 574, 609, 589]"
W3010745702,FRB,FRB 130729,dispersion_measure,861.0,cm^-3 pc,4,"[567, 595, 609, 610]"
W3010745702,FRB,FRB 131104,dispersion_measure,779.0,cm^-3 pc,4,"[567, 615, 609, 630]"
W3010745702,FRB,FRB 140514,dispersion_measure,562.7,cm^-3 pc,4,"[567, 636, 609, 651]"
W3010745702,FRB,FRB 150215,dispersion_measure,1105.6,cm^-3 pc,4,"[565, 657, 613, 672]"
W3010745702,FRB,FRB 150418,dispersion_measure,776.2,cm^-3 pc,4,"[567, 678, 609, 693]"
W3010745702,FRB,FRB 150610,dispersion_measure,1593.9,cm^-3 pc,4,"[566, 698, 613, 713]"
W3010745702,FRB,FRB 150807,dispersion_measure,266.5,cm^-3 pc,4,"[567, 720, 609, 734]"
W3010745702,FRB,FRB 151206,dispersion_measure,1909.8,cm^-3 pc,4,"[566, 740, 613, 755]"
W3010745702,FRB,FRB 151230,dispersion_measure,960.4,cm^-3 pc,4,"[567, 761, 609, 777]"
W3010745702,FRB,FRB 160102,dispersion_measure,2596.1,cm^-3 pc,4,"[565, 781, 611, 797]"
W3010745702,FRB,FRB 160317,dispersion_measure,1165.0,cm^-3 pc,4,"[565, 802, 613, 818]"
W3010745702,FRB,FRB 160410,dispersion_measure,278.0,cm^-3 pc,4,"[567, 823, 609, 839]"
W3010745702,FRB,FRB 160608,dispersion_measure,682.0,cm^-3 pc,4,"[567, 844, 609, 860]"
W3010745702,FRB,FRB 170107,dispersion_measure,609.5,cm^-3 pc,4,"[567, 864, 609, 880]"
W3010745702,FRB,FRB 170416,dispersion_measure,523.2,cm^-3 pc,4,"[568, 885, 609, 900]"
W3010745702,FRB,FRB 170428,dispersion_measure,991.7,cm^-3 pc,4,"[567, 907, 609, 921]"
W3010745702,FRB,FRB 170707,dispersion_measure,235.2,cm^-3 pc,4,"[567, 927, 609, 943]"
W3010745702,FRB,FRB 170712,dispersion_measure,312.8,cm^-3 pc,4,"[567, 948, 610, 965]"
W3010745702,FRB,FRB 170906,dispersion_measure,390.3,cm^-3 pc,4,"[567, 968, 609, 984]"
W3010745702,FRB,FRB 171003,dispersion_measure,463.2,cm^-3 pc,4,"[567, 989, 609, 1004]"
W3010745702,FRB,FRB 171004,dispersion_measure,304.0,cm^-3 pc,4,"[568, 1010, 609, 1025]"
W3010745702,FRB,FRB 171019,dispersion_measure,460.8,cm^-3 pc,4,"[568, 1031, 609, 1046]"
W3010745702,FRB,FRB 171020,dispersion_measure,114.1,cm^-3 pc,4,"[568, 1052, 606, 1067]"
W3010745702,FRB,FRB 171116,dispersion_measure,618.5,cm^-3 pc,4,"[567, 1073, 608, 1087]"
W3010745702,FRB,FRB 171213,dispersion_measure,158.6,cm^-3 pc,4,"[568, 1093, 609, 1109]"
W3010745702,FRB,FRB 171216,dispersion_measure,203.1,cm^-3 pc,4,"[567, 1114, 606, 1130]"
W3010745702,FRB,FRB 180110,dispersion_measure,715.7,cm^-3 pc,4,"[567, 1134, 609, 1150]"
W3010745702,FRB,FRB 180119,dispersion_measure,402.7,cm^-3 pc,4,"[568, 1155, 606, 1171]"
W3010745702,FRB,FRB 180128.0,dispersion_measure,441.4,cm^-3 pc,4,"[568, 1176, 606, 1191]"
W3010745702,FRB,FRB 180128.2,dispersion_measure,495.9,cm^-3 pc,4,"[568, 1198, 606, 1212]"
W3010745702,FRB,FRB 180130,dispersion_measure,343.5,cm^-3 pc,4,"[567, 1217, 608, 1232]"
W3010745702,FRB,FRB 180131,dispersion_measure,657.7,cm^-3 pc,4,"[567, 1238, 606, 1253]"
W3010745702,FRB,FRB 180212,dispersion_measure,167.5,cm^-3 pc,4,"[569, 1260, 609, 1274]"
